MTS	OPEN	CLOSE	HIGH	LOW	VOLUME
1537198200000	2.0	2.0	2.0	2.0	1.1
1537198500000	3212.0	3212.0	3212.0	3212.0	0.001
1537198560000	2.0	2.0	2.0	2.0	0.9
1537198620000	2.0	2.0	2.0	2.0	6.9422028
1537199640000	2.0	2.0	2.0	2.0	8.19262009
1537199760000	2.0	2.0	2.0	2.0	1.5
1537200000000	2.0	2.0	2.0	2.0	83.0
1537200060000	2.0	2.0	2.0	2.0	0.36517711
1537200120000	2.903	2.8	3.0	2.8	51.75702909
1537200180000	2.8001	2.8001	2.8001	2.8001	1.4985
1537200240000	2.8001	2.8	2.8002	2.8	59.08158137
1537200480000	2.7	2.2	2.7	2.2	6.0
1537200540000	2.1	2.1	2.1	2.1	1.0
1537200780000	1.7	1.64	1.7	1.64	477.0
1537201020000	1.64	1.59	1.64	1.59	594.0
1537201080000	2.6982	2.8	2.8	2.6982	4781.91841863
1537201140000	3.0	2.8	3.0	2.8	243.31814957
1537201200000	2.6999	2.7999	2.7999	2.6999	1156.0
1537201260000	2.7994	2.8	2.8	2.7994	14168.69698
1537201380000	1.82	1.82	1.82	1.82	21.3
1537201440000	1.82	1.82	1.82	1.82	13.49181849
1537201500000	1.86	1.8	1.86	1.8	101.0
1537201620000	1.91	1.9	1.91	1.9	163.69634678
1537201680000	2.0	1.71	2.0	1.71	0.011
1537201800000	1.76	1.711	1.76	1.711	275.11175793999996
1537201860000	2.73	1.6202	2.73	1.6202	4709.354697
1537201920000	1.6202	1.6	1.6443	1.6	24214.94893286
1537201980000	1.6	1.7999	1.7999	1.6	7901.41742619
1537202040000	1.6001	1.6	1.6392	1.6	19000.0
1537202100000	1.6	1.6	1.6499	1.6	30057.68803801
1537202160000	1.6	1.6	1.6001	1.6	33396.12050466
1537202220000	1.6	1.6	1.6001	1.6	40694.41260491
1537202280000	1.6	1.6	1.6	1.6	300.0
1537202340000	1.6	1.6	1.6	1.6	2034.3292517300001
1537202400000	1.6	1.6	1.6	1.6	7551.026538919999
1537202460000	1.5999	1.5999	1.5999	1.5999	72.73877031
1537202520000	1.5999	1.6	1.6	1.5999	4591.0
1537202580000	1.6	1.6	1.6	1.6	324.5
1537202640000	1.6	1.6	1.6	1.6	436.47
1537202700000	1.5901	1.6	1.6299	1.5901	13173.36383413
1537202820000	1.6	1.6	1.6	1.5705	2509.57255918
1537202880000	1.58	1.58	1.58	1.58	13000.0
1537202940000	1.58	1.571	1.58	1.571	20000.0
1537203060000	1.553	1.53	1.553	1.53	21436.452972619998
1537203120000	1.53	1.53	1.53	1.53	60.68818388
1537203180000	1.532	1.575	1.575	1.531	32148.099068760002
1537203240000	1.5699	1.53	1.5699	1.53	35504.0815
1537203300000	1.53	1.55	1.55	1.53	1002.55982856
1537203360000	1.53	1.53	1.53	1.53	26333.0
1537203420000	1.531	1.53	1.531	1.53	35010.0
1537203480000	1.5264	1.5264	1.5264	1.5264	93.94885877
1537203600000	1.5264	1.5	1.5264	1.5	48822.9
1537203660000	1.5005	1.55	1.55	1.4734	36125.3028443
1537203720000	1.4735	1.474	1.475	1.472	53279.0
1537203780000	1.55	1.472	1.55	1.472	6333.4766232599995
1537203840000	1.473	1.47	1.473	1.47	2000.0
1537204260000	1.472	1.4711	1.472	1.4711	200.0
1537204320000	1.4712	1.4699	1.4712	1.4699	3238.5931407
1537204380000	1.4698	1.45	1.4698	1.45	3261.7
1537204440000	1.4501	1.45	1.4501	1.45	2055.0
1537204500000	1.4501	1.45	1.4501	1.45	28832.0
1537204620000	1.4502	1.45	1.4502	1.45	5232.4890000000005
1537204680000	1.449	1.449	1.45	1.449	7761.69016166
1537204740000	1.449	1.4484	1.449	1.4484	2349.24038505
1537204800000	1.4444	1.4338	1.4444	1.4338	71.96431331
1537204860000	1.4338	1.3703	1.4338	1.37	30311.5777575
1537204920000	1.373	1.36	1.373	1.36	15805.04640611
1537204980000	1.3451	1.32	1.3451	1.31	90081.70540226
1537205040000	1.3201	1.32	1.3201	1.3	4397.30173252
1537205100000	1.32	1.32	1.32	1.32	6.08728904
1537205160000	1.35	1.35	1.35	1.35	48.81888039
1537205220000	1.35	1.35	1.35	1.35	10.99729998
1537205280000	1.35	1.35	1.35	1.35	147.7037037
1537205340000	1.35	1.35	1.35	1.35	1300.0
1537205400000	1.35	1.35	1.35	1.35	581.0
1537205460000	1.35	1.35	1.35	1.35	20.0
1537205520000	1.4	1.42	1.42	1.4	807.90026992
1537205580000	1.4	1.3305	1.4	1.3305	5930.89003182
1537205640000	1.3304	1.32	1.3304	1.32	33789.86061628
1537205880000	1.4111	1.4111	1.4111	1.4111	9.0
1537206120000	1.41	1.41	1.41	1.41	142.76616641
1537206240000	1.409	1.4111	1.4111	1.409	219.5978102
1537206420000	1.4111	1.44	1.44	1.4111	13097.43240176
1537206480000	1.42	1.42	1.42	1.42	204.04689990999998
1537206660000	1.4199	1.42	1.42	1.4199	9353.09661803
1537206780000	1.42	1.42	1.42	1.42	19.04302113
1537206900000	1.42	1.4001	1.42	1.4001	453.43199621
1537206960000	1.3999	1.3899	1.3999	1.3899	19.41339869
1537207020000	1.386	1.38	1.386	1.38	2314.52225706
1537207080000	1.38	1.38	1.38	1.3754	1370.7349018999998
1537207260000	1.38	1.4384	1.4384	1.38	902.58083124
1537207320000	1.4366	1.4366	1.4366	1.4366	0.9
1537207380000	1.3902	1.3902	1.3902	1.3902	9.98
1537207560000	1.4007	1.4	1.4007	1.4	1414.03081242
1537207620000	1.4	1.4	1.4	1.4	79.99341992
1537207740000	1.4201	1.4201	1.4201	1.4201	5.6452857
1537207860000	1.4399	1.4001	1.4399	1.4001	75.0
1537208160000	1.4389	1.44	1.44	1.4389	174.42802625000002
1537208220000	1.4677	1.466	1.4677	1.466	295.79895822000003
