MTS	OPEN	CLOSE	HIGH	LOW	VOLUME
1364774820000	93.25	93.3	93.3	93.25	93.3
1364774880000	100.0	100.0	100.0	100.0	93.3
1364774940000	93.3	93.3	93.3	93.3	33.67686227
1364775060000	93.35	93.47	93.47	93.35	20.0
1364775120000	93.47	93.47	93.47	93.47	2.02162704
1364775180000	93.03001	93.03	93.03001	93.03	4.9854
1364775960000	93.04399	93.04399	93.04399	93.04399	12.689500680000002
1364776080000	93.34999	93.35	93.35	93.34999	5.0
1364776500000	93.19999	93.35	93.35	93.19999	40.0
1364777580000	93.25	93.3	93.3	93.25	18.3
1364777640000	93.1	93.1	93.1	93.1	22.310499319999998
1364778000000	93.37999	93.37999	93.37999	93.37999	0.13540256
1364778360000	93.38001	93.37999	93.38001	93.37999	3.4090909099999998
1364778420000	93.37999	93.37999	93.37999	93.37999	5.10909076
1364778660000	93.48001	93.37999	93.48001	93.37999	3.98273394
1364778720000	93.48001	93.48797	93.48797	93.2	9.81440658
1364778780000	93.48797	93.48797	93.48797	93.48797	1.05988303
1364779380000	93.4847	93.4847	93.4847	93.4847	16.06
1364779680000	93.40001	93.40001	93.40001	93.40001	3.4
1364780160000	93.10001	93.1	93.10001	93.1	2.27272727
1364781900000	93.17	93.17	93.17	93.17	0.6276
1364782080000	93.16999	93.29	93.29	93.16999	10.0
1364783220000	93.10999	93.10999	93.10999	93.10999	0.43382
1364783760000	93.24	93.24	93.24	93.24	1.25
1364783880000	93.478	93.5	93.5	93.478	200.0
1364784000000	93.5	93.5	93.5	93.5	200.0
1364784060000	93.5	93.5	93.5	93.5	30.0
1364784180000	93.53001	93.64	94.0	93.53001	12.0
1364784240000	93.64	93.64	93.64	93.64	10.0
1364784720000	93.74	93.74	93.74	93.74	2.0
1364785260000	93.8	93.8	93.8	93.8	3.0
1364786040000	92.49999	92.5	92.5	92.49999	73.31618
1364786100000	92.5	92.5	92.5	92.5	5.0
1364787480000	92.70002	92.70002	92.70002	92.70002	15.0
1364790600000	93.15501	93.15503	93.15503	93.15501	5.0
1364793300000	93.7	93.7	93.7	93.7	10.09
1364793360000	93.7	93.7	93.7	93.7	5.0
1364793780000	93.765	93.78661	93.78661	93.765	0.6085445100000001
1364793840000	93.789	93.79	93.79	93.789	6.39145549
1364797380000	94.06751	94.06751	94.06751	94.06751	10.0
1364797440000	94.0	94.0	94.0	94.0	15.0
1364799180000	94.00001	94.0	94.00001	94.0	8.0
1364799300000	94.00001	94.00001	94.00001	94.00001	0.9
1364799360000	94.48	94.48	94.48	94.48	50.0
1364799420000	94.00001	94.00001	94.00001	94.00001	0.1
1364803740000	93.55	93.55	93.55	93.55	1.70287067
1364805000000	93.55001	93.55001	93.55001	93.55001	2.0
1364806320000	94.0	94.0	94.0	94.0	0.1045
1364807520000	94.22999	94.23	94.23	94.22999	1.97
1364810700000	94.39986	94.0	94.48	94.0	20.62590909
1364810760000	94.0	94.0	94.0	94.0	1.7045454599999998
1364810820000	94.48	95.0	95.0	94.48	57.08
1364810880000	95.0	95.0	95.0	95.0	5.0
1364811240000	94.59998	95.0	95.0	94.59998	21.32
1364811360000	95.0	95.0	95.0	95.0	18.15
1364811420000	95.0	95.0	95.0	95.0	36.28
1364811480000	94.60998	95.0	95.0	94.60998	18.14
1364811660000	94.59999	95.0	95.0	94.59999	14.23
1364811720000	95.0	95.0	95.0	95.0	12.0
1364811780000	95.0	95.0	95.0	95.0	12.03
1364811900000	95.0	95.0	95.0	95.0	10.47
1364812140000	94.15	95.0	95.0	94.15	1.52
1364815980000	94.05	94.05	94.05	94.05	5.0
1364816160000	94.0	94.0	94.0	94.0	5.0
1364816460000	94.98	94.98	94.98	94.98	5.0
1364816700000	94.98	94.98	94.98	94.98	14.92
1364816820000	94.98	94.98	94.98	94.98	10.0
1364816880000	94.98	94.98	94.98	94.98	48.87
1364817000000	94.98	95.2	95.5	94.98	109.53924701
1364817300000	95.89999	95.9898	95.9898	95.89999	8.634420800000001
1364817360000	95.99	95.5	96.0	95.5	33.137970370000005
1364817540000	96.0	96.0	96.0	96.0	10.0
1364817960000	96.675	96.675	96.675	96.675	12.0
1364818080000	98.0	98.0	98.0	98.0	40.0
1364818140000	97.97	98.1	98.1	97.97	10.0
1364818320000	98.0	98.0	98.0	98.0	3.0
1364818440000	98.0	98.0	98.0	98.0	12.0
1364818560000	97.75112	97.75112	97.75112	97.75112	3.93451264
1364818800000	97.5	97.5	97.5	97.5	8.93451264
1364818920000	97.5	97.5	97.5	97.5	40.0
1364818980000	95.98264	95.98264	95.98264	95.98264	20.1581164
1364819040000	96.79997	96.79997	96.79997	96.79997	5.407
1364819100000	96.999	97.0	97.0	96.99797	14.92742328
1364819220000	97.39	97.48	97.48	97.39	3.50746032
1364819700000	97.7	97.8154	97.8154	97.7	13.0
1364819940000	97.999	98.01906	98.01906	97.999	0.66508458
1364820060000	98.3965	98.41	98.41	98.3965	4.538662410000001
1364820300000	97.7	97.7	97.7	97.7	0.2
1364820360000	97.7	97.7	97.7	97.7	0.4
1364820660000	98.0	98.0	98.0	98.0	5.20374699
1364820840000	97.0	97.0	97.0	97.0	0.94
1364821140000	98.5	98.5	98.5	98.5	20.0
1364821680000	97.4	97.4	97.4	97.4	1.2
1364822820000	98.5	98.5	98.5	98.5	19.4
1364822940000	98.55001	98.5626	98.5626	98.55001	6.6
1364823060000	98.55	98.55	98.55	98.55	0.3
1364823240000	98.5	98.8	98.8	98.5	25.0
1364823300000	98.8	98.8	98.8	98.8	3.0
1364823960000	99.0	99.0	99.0	99.0	18.0
1364824380000	99.01	99.01	99.01	99.01	6.0
1364824680000	99.9	99.9	99.9	99.9	3.5
1364825100000	99.62055	99.62054	99.62055	99.62054	2.00485986
1364825220000	99.007	99.00001	99.007	99.00001	10.0
1364825280000	99.5	99.5	99.5	99.5	2.00485986
1364825340000	99.5	99.5	99.5	99.5	4.0
1364825880000	100.0	100.0	100.0	100.0	15.0
1364825940000	100.98	99.99	100.98	99.99	3.86993281
1364826180000	100.875	100.875	100.875	100.875	0.1
1364826300000	100.775	100.3	100.775	100.3	12.591987419999999
1364826360000	101.0	100.98001	101.0	100.2001	16.03680172
1364826480000	101.01	101.02	101.02	101.01	0.1
1364826600000	101.45	101.45	101.45	101.45	2.0
1364826660000	101.75	101.7877	101.7877	101.75	5.463556650000001
1364826780000	101.51	101.51	101.51	101.51	0.32285309
1364826840000	101.55	101.51	101.55	101.0	0.7507318199999999
1364826900000	101.75	101.75	101.75	101.75	0.63382074
1364827020000	102.05	102.05	102.05	102.05	2.73
1364827080000	101.74999	101.74999	101.74999	101.74999	0.05009716
1364827140000	102.1	102.1	102.1	102.1	0.18081068
1364827380000	102.47	102.47	102.47	102.47	0.32
1364827440000	102.0	102.4	102.4	102.0	3.40626616
1364827500000	102.6	102.6	102.6	102.6	3.0
1364827800000	103.5	103.5	103.5	103.5	2.06409166
1364827860000	103.0	103.9	103.9	103.0	49.9
1364827920000	104.0804	104.23	104.23	104.0804	9.0
1364827980000	104.9	104.6	105.0	104.0	401.0
1364828040000	104.6	104.6	104.6	104.6	9.0
1364828100000	104.59999	104.6	104.6	104.59999	23.66
1364828160000	104.0	103.51991	104.0	100.0	26.147
1364828220000	103.51991	103.6	104.0	103.51991	45.0768085
1364828280000	103.5	103.5	103.5	103.5	0.5
1364828400000	105.9	105.9	105.9	105.9	2.0
1364828460000	104.4	104.4	104.4	104.4	14.16
